home_team,away_team,home_team_c,away_team_c,home_code,away_code,spread_home,total_points,market_home_ml,market_away_ml
DEN,LV,DEN,LV,DEN,LV,,,,
IND,ATL,IND,ATL,IND,ATL,-6.5,48.0,-295.0,240.0
CAR,NO,CAR,NO,CAR,NO,-5.5,38.5,-250.0,210.0
CHI,NYG,CHI,NYG,CHI,NYG,-4.5,46.5,-225.0,185.0
HOU,JAX,HOU,JAX,HOU,JAX,1.5,37.5,-110.0,-110.0
MIA,BUF,MIA,BUF,MIA,BUF,9.5,50.0,400.0,-575.0
MIN,BAL,MIN,BAL,MIN,BAL,3.5,49.0,185.0,-225.0
NYJ,CLE,NYJ,CLE,NYJ,CLE,1.5,37.5,110.0,-130.0
TB,NE,TB,NE,TB,NE,-2.5,48.0,-145.0,125.0
SEA,ARI,SEA,ARI,SEA,ARI,-6.5,45.5,-330.0,265.0
SF,LA,SF,LA,SF,LAR,4.5,49.5,195.0,-235.0
WAS,DET,WAS,DET,WAS,DET,8.5,49.0,340.0,-460.0
LAC,PIT,LAC,PIT,LAC,PIT,-3.0,45.0,-150.0,130.0
GB,PHI,GB,PHI,GB,PHI,-1.5,45.5,-118.0,-102.0
